basename,domain,engine,stt_time_sec,cost,wer,cer
SRBAB21000001,경제,Whisper,190.775,0.0,0.388,0.23
SRBAB21000001,경제,CLOVA,28.175,0.5534,0.306,0.187
SRBAB21000001,경제,Google STT,609.967,0.332,0.556,0.348
SRBAB21000001,경제,AWS,167.439,0.415,0.309,0.185
SRBAB21000001,경제,Azure,1632.219,0.5534,0.308,0.177
SRBAB21000002,경제,Whisper,201.888,0.0,0.403,0.285
SRBAB21000002,경제,CLOVA,23.329,0.5404,0.312,0.238
SRBAB21000002,경제,Google STT,581.818,0.3242,0.581,0.418
SRBAB21000002,경제,AWS,164.557,0.4053,0.331,0.252
SRBAB21000002,경제,Azure,1593.722,0.5404,0.321,0.24
SRBAB21000003,경제,Whisper,196.246,0.0,0.418,0.291
SRBAB21000003,경제,CLOVA,24.734,0.5531,0.317,0.236
SRBAB21000003,경제,Google STT,572.362,0.3318,0.549,0.383
SRBAB21000003,경제,AWS,163.104,0.4148,0.313,0.237
SRBAB21000003,경제,Azure,1630.416,0.5531,0.311,0.234
DGBED21000001,교육,Whisper,196.631,0.0,0.61,0.376
DGBED21000001,교육,CLOVA,34.505,0.6069,0.421,0.302
DGBED21000001,교육,Google STT,627.937,0.3641,0.686,0.432
DGBED21000001,교육,AWS,186.49,0.4551,0.374,0.273
DGBED21000001,교육,Azure,1796.506,0.6069,0.398,0.296
DGBED21000002,교육,Whisper,212.696,0.0,0.419,0.262
DGBED21000002,교육,CLOVA,36.516,0.7211,0.305,0.208
DGBED21000002,교육,Google STT,776.857,0.4327,0.551,0.367
DGBED21000002,교육,AWS,228.057,0.5409,0.338,0.202
DGBED21000002,교육,Azure,2130.209,0.7211,0.345,0.205
DGBED21000003,교육,Whisper,165.184,0.0,0.49,0.276
DGBED21000003,교육,CLOVA,38.215,0.5446,0.442,0.232
DGBED21000003,교육,Google STT,570.559,0.3268,0.596,0.374
DGBED21000003,교육,AWS,185.725,0.4085,0.444,0.226
DGBED21000003,교육,Azure,1605.226,0.5446,0.449,0.235
SRBAC21000001,사회,Whisper,363.767,0.0,0.312,0.223
SRBAC21000001,사회,CLOVA,24.635,0.5279,0.272,0.198
SRBAC21000001,사회,Google STT,558.422,0.3168,0.528,0.357
SRBAC21000001,사회,AWS,236.573,0.396,0.288,0.216
SRBAC21000001,사회,Azure,1556.26,0.5279,0.293,0.212
SRBAC21000002,사회,Whisper,206.107,0.0,0.352,0.241
SRBAC21000002,사회,CLOVA,24.893,0.5028,0.291,0.21
SRBAC21000002,사회,Google STT,567.506,0.3017,0.544,0.372
SRBAC21000002,사회,AWS,360.369,0.3771,0.263,0.201
SRBAC21000002,사회,Azure,1481.495,0.5028,0.288,0.206
SRBAC21000003,사회,Whisper,210.479,0.0,0.383,0.256
SRBAC21000003,사회,CLOVA,22.613,0.5508,0.32,0.221
SRBAC21000003,사회,Google STT,610.981,0.3305,0.562,0.378
SRBAC21000003,사회,AWS,452.741,0.4131,0.341,0.23
SRBAC21000003,사회,Azure,1623.233,0.5508,0.351,0.238
DGBAF21000153,생활,Whisper,215.544,0.0,0.373,0.244
DGBAF21000153,생활,CLOVA,32.243,0.5344,0.269,0.195
DGBAF21000153,생활,Google STT,593.5,0.3207,0.549,0.373
DGBAF21000153,생활,AWS,334.755,0.4008,0.299,0.204
DGBAF21000153,생활,Azure,1575.043,0.5344,0.294,0.205
DGBEF21000001,생활,Whisper,39.361,0.0,0.454,0.252
DGBEF21000001,생활,CLOVA,6.991,0.1324,0.291,0.161
DGBEF21000001,생활,Google STT,105.493,0.0795,0.467,0.254
DGBEF21000001,생활,AWS,210.145,0.0993,0.296,0.164
DGBEF21000001,생활,Azure,389.163,0.1324,0.3,0.17
DGBEF21000002,생활,Whisper,26.111,0.0,0.481,0.266
DGBEF21000002,생활,CLOVA,4.41,0.0898,0.354,0.217
DGBEF21000002,생활,Google STT,90.906,0.0539,0.493,0.312
DGBEF21000002,생활,AWS,138.869,0.0674,0.365,0.224
DGBEF21000002,생활,Azure,263.4,0.0898,0.367,0.231
SRBAE21000001,세계,Whisper,240.062,0.0,0.472,0.34
SRBAE21000001,세계,CLOVA,23.432,0.5571,0.384,0.295
